image_id,filename,original_score,operations,post_status,post_score,score_delta,degradation_detected,degradation_reasons,final_status,final_directive
aptos_026dcd9af143,aptos_026dcd9af143.png,0.6777,bilateral_denoising; gamma_correction; CLAHE,NON-CRITICAL,0.9117,0.234,False,None,NON-CRITICAL,OK TO GO
aptos_05113073b268,aptos_05113073b268.png,0.7123,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.8852,0.1729,False,None,NON-CRITICAL,OK TO GO
aptos_052d9a3fe55a,aptos_052d9a3fe55a.png,0.7733,illumination_normalization; gamma_correction; unsharp_masking,NON-CRITICAL,0.7675,-0.0058,False,None,NON-CRITICAL,OK TO GO
aptos_07122e268a1d,aptos_07122e268a1d.png,0.8159,CLAHE,NON-CRITICAL,0.9513,0.1354,False,None,NON-CRITICAL,OK TO GO
aptos_0924cec998fa,aptos_0924cec998fa.png,0.804,bilateral_denoising; glare_attenuation,BORDERLINE,0.7577,-0.0463,False,None,BORDERLINE,ENHANCEMENT
aptos_09935d72892b,aptos_09935d72892b.png,0.7428,illumination_normalization; gamma_correction,NON-CRITICAL,0.8275,0.0847,False,None,NON-CRITICAL,OK TO GO
aptos_0d8f60ed9280,aptos_0d8f60ed9280.png,0.7789,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.8078,0.0289,False,None,NON-CRITICAL,OK TO GO
aptos_0da632ca45e0,aptos_0da632ca45e0.png,0.7941,bilateral_denoising; illumination_normalization; gamma_correction; CLAHE,BORDERLINE,0.8729,0.0788,True,"Dimension noise dropped below non-critical threshold (0.522 -> 0.000, delta=-0.522)",CRITICAL,RECAPTURE
aptos_0fcfc6301f3d,aptos_0fcfc6301f3d.png,0.7995,CLAHE,NON-CRITICAL,0.9468,0.1473,False,None,NON-CRITICAL,OK TO GO
aptos_0fffa73e2402,aptos_0fffa73e2402.png,0.7335,bilateral_denoising; gamma_correction; CLAHE,NON-CRITICAL,0.9504,0.2169,False,None,NON-CRITICAL,OK TO GO
aptos_10fca1abf338,aptos_10fca1abf338.png,0.7979,illumination_normalization,NON-CRITICAL,0.7901,-0.0078,False,None,NON-CRITICAL,OK TO GO
aptos_14c3b41d289c,aptos_14c3b41d289c.png,0.7096,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.8675,0.1579,False,None,NON-CRITICAL,OK TO GO
aptos_14ee87d6cc42,aptos_14ee87d6cc42.png,0.7847,CLAHE,NON-CRITICAL,0.8684,0.0837,False,None,NON-CRITICAL,OK TO GO
aptos_1594ca6c30d3,aptos_1594ca6c30d3.png,0.8032,illumination_normalization,NON-CRITICAL,0.7974,-0.0058,True,"Severe degradation in contrast (1.000 -> 0.493, delta=-0.507)",CRITICAL,RECAPTURE
aptos_15cc2aef772a,aptos_15cc2aef772a.png,0.8162,illumination_normalization,NON-CRITICAL,0.9557,0.1395,False,None,NON-CRITICAL,OK TO GO
aptos_17d997fe1090,aptos_17d997fe1090.png,0.7303,illumination_normalization; gamma_correction; unsharp_masking,NON-CRITICAL,0.8397,0.1094,False,None,NON-CRITICAL,OK TO GO
aptos_1891698febce,aptos_1891698febce.png,0.7344,gamma_correction; glare_attenuation,BORDERLINE,0.7471,0.0127,False,None,BORDERLINE,ENHANCEMENT
aptos_18ce0cdc473d,aptos_18ce0cdc473d.png,0.7466,bilateral_denoising,BORDERLINE,0.7048,-0.0418,True,"Severe degradation in focus (0.704 -> 0.346, delta=-0.359)",CRITICAL,RECAPTURE
aptos_19ef4d292196,aptos_19ef4d292196.png,0.8276,CLAHE,NON-CRITICAL,0.9372,0.1096,False,None,NON-CRITICAL,OK TO GO
aptos_1a19f2ef4472,aptos_1a19f2ef4472.png,0.7408,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.881,0.1402,False,None,NON-CRITICAL,OK TO GO
aptos_1e036f2e7095,aptos_1e036f2e7095.png,0.7265,bilateral_denoising; gamma_correction; CLAHE; unsharp_masking,NON-CRITICAL,0.9305,0.204,False,None,NON-CRITICAL,OK TO GO
aptos_1ec95179cdfe,aptos_1ec95179cdfe.png,0.7505,illumination_normalization; gamma_correction,NON-CRITICAL,0.8169,0.0664,False,None,NON-CRITICAL,OK TO GO
aptos_1efa5d443707,aptos_1efa5d443707.png,0.8155,CLAHE,NON-CRITICAL,0.9382,0.1227,False,None,NON-CRITICAL,OK TO GO
aptos_215d2b7c3fde,aptos_215d2b7c3fde.png,0.6721,illumination_normalization; gamma_correction,NON-CRITICAL,0.7709,0.0988,False,None,NON-CRITICAL,OK TO GO
aptos_218c822a3dd9,aptos_218c822a3dd9.png,0.8169,bilateral_denoising; glare_attenuation,BORDERLINE,0.785,-0.0319,True,"Severe degradation in focus (0.775 -> 0.456, delta=-0.319)",CRITICAL,RECAPTURE
aptos_2209daf71aab,aptos_2209daf71aab.png,0.7482,bilateral_denoising; unsharp_masking,BORDERLINE,0.7534,0.0052,False,None,BORDERLINE,ENHANCEMENT
aptos_22ce8ef69357,aptos_22ce8ef69357.png,0.7571,bilateral_denoising; glare_attenuation,BORDERLINE,0.7185,-0.0386,True,"Severe degradation in focus (0.729 -> 0.381, delta=-0.347)",CRITICAL,RECAPTURE
aptos_234399352d36,aptos_234399352d36.png,0.8299,CLAHE,NON-CRITICAL,0.94,0.1101,False,None,NON-CRITICAL,OK TO GO
aptos_247e98aba610,aptos_247e98aba610.png,0.7459,bilateral_denoising; gamma_correction; CLAHE,NON-CRITICAL,0.9415,0.1956,False,None,NON-CRITICAL,OK TO GO
aptos_24f271c87e73,aptos_24f271c87e73.png,0.7823,bilateral_denoising,BORDERLINE,0.7424,-0.0399,True,"Severe degradation in focus (0.724 -> 0.373, delta=-0.351)",CRITICAL,RECAPTURE
aptos_26453eb7e989,aptos_26453eb7e989.png,0.6422,bilateral_denoising; gamma_correction; glare_attenuation; unsharp_masking,BORDERLINE,0.7091,0.0669,False,None,BORDERLINE,ENHANCEMENT
aptos_2f143453bb71,aptos_2f143453bb71.png,0.7125,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.8864,0.1739,False,None,NON-CRITICAL,OK TO GO
aptos_2f81ee5f2926,aptos_2f81ee5f2926.png,0.7728,bilateral_denoising,BORDERLINE,0.7843,0.0115,False,None,BORDERLINE,ENHANCEMENT
aptos_30263a7d5609,aptos_30263a7d5609.png,0.7476,gamma_correction; CLAHE; unsharp_masking,BORDERLINE,0.8707,0.1231,True,"Dimension noise dropped below non-critical threshold (1.000 -> 0.000, delta=-1.000)",CRITICAL,RECAPTURE
aptos_31cb39681f6a,aptos_31cb39681f6a.png,0.7937,illumination_normalization,NON-CRITICAL,0.7716,-0.0221,False,None,NON-CRITICAL,OK TO GO
aptos_3428230bf1bd,aptos_3428230bf1bd.png,0.8217,CLAHE,NON-CRITICAL,0.9458,0.1241,False,None,NON-CRITICAL,OK TO GO
aptos_35777eb7859d,aptos_35777eb7859d.png,0.8045,bilateral_denoising,BORDERLINE,0.764,-0.0405,True,"Severe degradation in focus (0.705 -> 0.351, delta=-0.353)",CRITICAL,RECAPTURE
aptos_3732de8b416f,aptos_3732de8b416f.png,0.7572,bilateral_denoising; glare_attenuation,BORDERLINE,0.7189,-0.0383,True,"Severe degradation in focus (0.735 -> 0.390, delta=-0.345)",CRITICAL,RECAPTURE
aptos_38e111cac46f,aptos_38e111cac46f.png,0.7979,gamma_correction; CLAHE,NON-CRITICAL,0.9472,0.1493,False,None,NON-CRITICAL,OK TO GO
aptos_3a6e9730b298,aptos_3a6e9730b298.png,0.7256,illumination_normalization; gamma_correction; unsharp_masking,NON-CRITICAL,0.8258,0.1002,False,None,NON-CRITICAL,OK TO GO
aptos_3d663a6a50a3,aptos_3d663a6a50a3.png,0.7951,illumination_normalization,NON-CRITICAL,0.7755,-0.0196,True,"Severe degradation in contrast (1.000 -> 0.494, delta=-0.506)",CRITICAL,RECAPTURE
aptos_3f3de2a6b0f5,aptos_3f3de2a6b0f5.png,0.7578,illumination_normalization; unsharp_masking,NON-CRITICAL,0.8659,0.1081,False,None,NON-CRITICAL,OK TO GO
aptos_4158c340fa49,aptos_4158c340fa49.png,0.7133,gamma_correction,NON-CRITICAL,0.8171,0.1038,False,None,NON-CRITICAL,OK TO GO
aptos_43e9c66eb0f3,aptos_43e9c66eb0f3.png,0.7923,bilateral_denoising,BORDERLINE,0.7535,-0.0388,True,"Severe degradation in focus (0.730 -> 0.384, delta=-0.346)",CRITICAL,RECAPTURE
aptos_453a1e2754b2,aptos_453a1e2754b2.png,0.7798,CLAHE,NON-CRITICAL,0.858,0.0782,False,None,NON-CRITICAL,OK TO GO
aptos_486e852a3b4d,aptos_486e852a3b4d.png,0.7435,illumination_normalization; gamma_correction,NON-CRITICAL,0.7803,0.0368,False,None,NON-CRITICAL,OK TO GO
aptos_4d17559ac1e2,aptos_4d17559ac1e2.png,0.7374,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.8974,0.16,False,None,NON-CRITICAL,OK TO GO
aptos_4e6071b73120,aptos_4e6071b73120.png,0.7519,gamma_correction; CLAHE,NON-CRITICAL,0.9464,0.1945,False,None,NON-CRITICAL,OK TO GO
aptos_4ed31cc07366,aptos_4ed31cc07366.png,0.8002,gamma_correction; unsharp_masking,NON-CRITICAL,0.8325,0.0323,False,None,NON-CRITICAL,OK TO GO
