category,filename,description,overall_score,score_focus,score_brightness,score_contrast,score_noise,score_fov,score_illumination,score_artifact,detected_problems,hard_failure,hard_failure_reasons,status,directive,ok_to_go,recapture_required,classification_reason
Very Good,aptos_906d02fb822d.png,"Optimal sharpness, balanced exposure, clean ocular media, pristine FOV",0.9559,0.8939,0.9602,1.0,0.8862,1.0,0.9977,1.0,None (Optimal quality across all 7 dimensions),False,None,NON-CRITICAL,OK TO GO,True,False,Composite score (0.956 >= 0.70) and all critical dimensions >= 0.35
Very Good,aptos_a4012932e18d.png,"Crisp vascular detail, uniform illumination, zero glare, high gradability",0.9559,0.8939,0.9602,1.0,0.8862,1.0,0.9977,1.0,None (Optimal quality across all 7 dimensions),False,None,NON-CRITICAL,OK TO GO,True,False,Composite score (0.956 >= 0.70) and all critical dimensions >= 0.35
Very Good,train_IDRiD_034.jpg,High-resolution (12.2MP) pristine fundus with sharp fovea and optic disc,0.9541,0.9557,0.9958,1.0,0.6582,1.0,1.0,1.0,None (Optimal quality across all 7 dimensions),False,None,NON-CRITICAL,OK TO GO,True,False,Composite score (0.954 >= 0.70) and all critical dimensions >= 0.35
Very Good,test_IDRiD_086.jpg,"Optimal diagnostic exposure, crisp vessel margins, excellent contrast",0.951,0.9439,0.9904,1.0,0.6698,1.0,0.9946,1.0,None (Optimal quality across all 7 dimensions),False,None,NON-CRITICAL,OK TO GO,True,False,Composite score (0.951 >= 0.70) and all critical dimensions >= 0.35
Very Good,aptos_6cffc6c6851a.png,"Standard clinical reference image, optimal tonal distribution and sharpness",0.8157,0.3992,0.9767,1.0,0.8312,0.9082,1.0,1.0,"Focus Deficit (score=0.40, Lap=21.5)",False,None,NON-CRITICAL,OK TO GO,True,False,Composite score (0.816 >= 0.70) and all critical dimensions >= 0.35
Very Blurry,aptos_164cd5a3a6cd.png,Severe optical defocus; fine capillaries and arcade margins completely lost,0.7219,0.2617,0.5983,0.8147,0.95,0.9966,1.0,1.0,"Focus Deficit (score=0.26, Lap=3.9); Exposure Deficit (score=0.60, Mean=56.0)",True,"Severe Defocus Blur (LapVar=3.88 < 4.5, Tenengrad=37.8)",CRITICAL,RECAPTURE,False,True,"HARD FAILURE: Severe Defocus Blur (LapVar=3.88 < 4.5, Tenengrad=37.8)"
Very Blurry,aptos_1f543a86c4d4.png,Severe motion/defocus blur; optic disc and vessel tree submerged,0.8262,0.3512,0.9789,0.9754,0.9523,1.0,1.0,1.0,"Focus Deficit (score=0.35, Lap=3.4)",True,"Severe Defocus Blur (LapVar=3.42 < 4.5, Tenengrad=43.1)",CRITICAL,RECAPTURE,False,True,"HARD FAILURE: Severe Defocus Blur (LapVar=3.42 < 4.5, Tenengrad=43.1)"
Very Blurry,aptos_a3bd2e034614.png,Extreme defocus blur; gradient energy well below diagnostic threshold,0.689,0.1932,0.3612,1.0,0.9562,0.9969,0.914,1.0,"Focus Deficit (score=0.19, Lap=3.1); Exposure Deficit (score=0.36, Mean=43.1)",True,"Severe Defocus Blur (LapVar=3.06 < 4.5, Tenengrad=31.5)",CRITICAL,RECAPTURE,False,True,"HARD FAILURE: Severe Defocus Blur (LapVar=3.06 < 4.5, Tenengrad=31.5)"
Very Blurry,aptos_6a244e855d0e.png,Severe optical blur combined with diffuse overexposure,0.6975,0.402,0.0087,1.0,0.9564,1.0,1.0,1.0,"Focus Deficit (score=0.40, Lap=2.6); Exposure Deficit (score=0.01, Mean=154.5)",False,None,BORDERLINE,ENHANCEMENT,False,False,"Intermediate composite score (0.698 in [0.50, 0.70]) or sub-0.35 dimension in otherwise viable image"
Very Blurry,aptos_85fce24084da.png,Moderate-to-severe defocus blur requiring edge enhancement or recapture,0.8054,0.4588,0.7918,0.8479,0.9476,1.0,1.0,1.0,"Focus Deficit (score=0.46, Lap=4.0)",False,None,NON-CRITICAL,OK TO GO,True,False,Composite score (0.805 >= 0.70) and all critical dimensions >= 0.35
Very Dark / Underexposed,aptos_77baa08a1345.png,Darkest image in dataset; retinal signal submerged below sensor floor,0.5924,0.5489,0.0,0.1121,0.9342,0.9992,0.9511,1.0,"Focus Deficit (score=0.55, Lap=10.5); Exposure Deficit (score=0.00, Mean=27.4); Contrast Deficit (score=0.11, RMS=7.2)",True,Severe Underexposure (Retinal Mean Intensity=27.4 < 40.0),CRITICAL,RECAPTURE,False,True,HARD FAILURE: Severe Underexposure (Retinal Mean Intensity=27.4 < 40.0)
Very Dark / Underexposed,aptos_b6304c545f95.png,"Severe underexposure; 19.4% clipped dark pixels, ungradable macula",0.6366,0.5554,0.0,0.394,0.933,1.0,0.9537,1.0,"Focus Deficit (score=0.56, Lap=10.7); Exposure Deficit (score=0.00, Mean=29.3); Contrast Deficit (score=0.39, RMS=10.4)",True,Severe Underexposure (Retinal Mean Intensity=29.3 < 40.0),CRITICAL,RECAPTURE,False,True,HARD FAILURE: Severe Underexposure (Retinal Mean Intensity=29.3 < 40.0)
Very Dark / Underexposed,aptos_4a7dc013e802.png,"Severe underexposure; 22.0% dark pixels, lost posterior pole detail",0.6137,0.5601,0.0,0.4343,0.9323,1.0,0.6531,1.0,"Focus Deficit (score=0.56, Lap=10.9); Exposure Deficit (score=0.00, Mean=29.6); Contrast Deficit (score=0.43, RMS=10.8)",True,Severe Underexposure (Retinal Mean Intensity=29.6 < 40.0),CRITICAL,RECAPTURE,False,True,HARD FAILURE: Severe Underexposure (Retinal Mean Intensity=29.6 < 40.0)
Very Dark / Underexposed,aptos_417f408ee8e0.png,"Severe underexposure; mean intensity 30.1, hard failure triggered",0.6635,0.5655,0.0,0.5814,0.932,1.0,0.9172,1.0,"Focus Deficit (score=0.57, Lap=11.0); Exposure Deficit (score=0.00, Mean=29.9); Contrast Deficit (score=0.58, RMS=12.2)",True,Severe Underexposure (Retinal Mean Intensity=29.9 < 40.0),CRITICAL,RECAPTURE,False,True,HARD FAILURE: Severe Underexposure (Retinal Mean Intensity=29.9 < 40.0)
Very Dark / Underexposed,aptos_66460ecab347.png,"Severe underexposure (Retinal Mean=37.1 < 40.0); signal floor failure, hard failure triggered",0.7206,0.9071,0.2427,0.6246,0.4301,0.9424,0.7941,1.0,"Exposure Deficit (score=0.24, Mean=37.1); Contrast Deficit (score=0.62, RMS=12.6); High Noise (score=0.43, Std=2.11)",True,Severe Underexposure (Retinal Mean Intensity=37.1 < 40.0),CRITICAL,RECAPTURE,False,True,HARD FAILURE: Severe Underexposure (Retinal Mean Intensity=37.1 < 40.0)
Very Bright / Overexposed,aptos_89ee1fa16f90.png,Extreme flash bleaching (Mean=153.7); blanched background and washed fovea,0.7334,0.5482,0.0231,1.0,0.9285,1.0,1.0,1.0,"Focus Deficit (score=0.55, Lap=7.1); Exposure Deficit (score=0.02, Mean=153.7)",False,None,BORDERLINE,ENHANCEMENT,False,False,"Intermediate composite score (0.733 in [0.50, 0.70]) or sub-0.35 dimension in otherwise viable image"
Very Bright / Overexposed,aptos_3c326543fff6.png,Severe overexposure (Mean=145.2); attenuated contrast from excess illumination,0.8091,0.8929,0.1756,1.0,0.7376,0.9518,0.9297,1.0,"Exposure Deficit (score=0.18, Mean=145.2)",False,None,BORDERLINE,ENHANCEMENT,False,False,"Intermediate composite score (0.809 in [0.50, 0.70]) or sub-0.35 dimension in otherwise viable image"
Very Bright / Overexposed,aptos_cd29c88c9e36.png,Severe overexposure (Mean=141.5); washed nerve fiber layer and retinal reflex,0.7252,0.4054,0.2435,0.9479,0.9519,1.0,1.0,1.0,"Focus Deficit (score=0.41, Lap=3.3); Exposure Deficit (score=0.24, Mean=141.5)",False,None,BORDERLINE,ENHANCEMENT,False,False,"Intermediate composite score (0.725 in [0.50, 0.70]) or sub-0.35 dimension in otherwise viable image"
Very Bright / Overexposed,aptos_aa6242f9e08c.png,"Severe overexposure with saturation (Mean=140.8, BrightPct=0.30%)",0.7972,0.8935,0.2559,1.0,0.7445,0.9517,0.9191,0.7633,"Exposure Deficit (score=0.26, Mean=140.8)",False,None,BORDERLINE,ENHANCEMENT,False,False,"Intermediate composite score (0.797 in [0.50, 0.70]) or sub-0.35 dimension in otherwise viable image"
Very Bright / Overexposed,train_IDRiD_078.jpg,Mild overexposure (Mean=130.6); borderline candidate for highlight compression,0.8671,0.9202,0.5043,0.9129,0.7629,1.0,0.9816,1.0,"Exposure Deficit (score=0.50, Mean=124.9)",False,None,NON-CRITICAL,OK TO GO,True,False,Composite score (0.867 >= 0.70) and all critical dimensions >= 0.35
Low Contrast / Noisy / Uneven Illumination,aptos_e65a2ff90494.png,Lowest contrast in dataset (RMS=7.23); dense cataract/corneal haze simulation,0.7337,0.7465,0.5999,0.1106,0.905,1.0,1.0,1.0,"Exposure Deficit (score=0.60, Mean=56.1); Contrast Deficit (score=0.11, RMS=7.2)",False,None,BORDERLINE,ENHANCEMENT,False,False,"Intermediate composite score (0.734 in [0.50, 0.70]) or sub-0.35 dimension in otherwise viable image"
Low Contrast / Noisy / Uneven Illumination,aptos_f86d1c404acb.png,"Highest high-frequency grain in dataset (Noise Std=2.938, LocalVar=24.68)",0.7511,0.9221,0.3941,0.8784,0.0057,0.9142,0.9199,1.0,"Exposure Deficit (score=0.39, Mean=121.8); High Noise (score=0.01, Std=2.94)",False,None,NON-CRITICAL,OK TO GO,True,False,Composite score (0.751 >= 0.70) and all critical dimensions >= 0.35
Low Contrast / Noisy / Uneven Illumination,aptos_6ccfdb031184.png,Highest illumination CoV in dataset (0.697); severe quadrant shadow failure,0.714,0.4251,0.9685,0.6422,0.8436,0.9839,0.3419,1.0,"Focus Deficit (score=0.43, Lap=21.6); Contrast Deficit (score=0.64, RMS=51.5); Illumination Deficit (score=0.34, CoV=0.70)",True,Severe Non-Uniform Illumination (Map CoV=0.697 > 0.52),CRITICAL,RECAPTURE,False,True,HARD FAILURE: Severe Non-Uniform Illumination (Map CoV=0.697 > 0.52)
